6.2	0.23	0.35	0.7	0.051	24	111	0.9916	3.37	0.43	11	3
6.8	0.26	0.34	15.1	0.06	42	162	0.99705	3.24	0.52	10.5	3
6.1	0.26	0.25	2.9	0.047	289	440	0.99314	3.44	0.64	10.5	3
6.9	0.25	0.24	3.6	0.057	13	85	0.9942	2.99	0.48	9.5	4
6.9	0.25	0.24	3.6	0.057	13	85	0.9942	2.99	0.48	9.5	4
7.1	0.53	0.24	0.8	0.029	29	86	0.993	3.16	0.32	9.1	4
6.2	0.43	0.49	6.4	0.045	12	115	0.9963	3.27	0.57	9	4
8.8	0.35	0.49	1	0.036	14	56	0.992	2.96	0.33	10.5	4
8.5	0.17	0.49	8.8	0.048	23	108	0.9947	2.88	0.34	10.5	4
7.1	0.64	0.49	1.8	0.05	17	128	0.9946	3.31	0.58	10.6	4
7.6	0.31	0.49	13.4	0.062	50	191	0.9989	3.22	0.53	9	4
6.9	0.26	0.49	1.6	0.058	39	166	0.9965	3.65	0.52	9.4	4
8.2	0.29	0.49	1	0.044	29	118	0.9928	3.24	0.36	10.9	4
8.1	0.28	0.46	15.4	0.059	32	177	1.0004	3.27	0.58	9	4
9	0.43	0.3	1.5	0.05	7	175	0.9951	3.11	0.45	9.7	4
6.5	0.27	0.19	4.2	0.046	6	114	0.9955	3.25	0.35	8.6	4
7	0.61	0.26	1.7	0.051	25	161	0.9946	3.36	0.6	10.6	4
9.3	0.2	0.33	1.7	0.05	28	178	0.9954	3.16	0.43	9	4
8.4	0.29	0.29	1.05	0.032	4	55	0.9908	2.91	0.32	11.4	4
6.1	0.32	0.37	1.8	0.051	13	200	0.9945	3.49	0.44	10.5	4
7.2	0.5	0	0.8	0.034	46	114	0.9932	3.19	0.34	9.2	4
10	0.91	0.42	1.6	0.056	34	181	0.9968	3.11	0.46	10	4
7.6	0.26	0.36	1.6	0.032	6	106	0.993	3.15	0.4	10.4	4
6.3	0.31	0.34	2.2	0.045	20	77	0.9927	3.3	0.43	10.2	5
7.1	0.37	0.67	10.5	0.045	49	155	0.9975	3.16	0.44	8.7	5
7.2	0.18	0.41	1.2	0.048	41	97	0.9919	3.14	0.45	10.4	5
6.4	0.22	0.56	14.5	0.055	27	159	0.998	2.98	0.4	9.1	5
6.3	0.36	0.3	4.8	0.049	14	85	0.9932	3.28	0.39	10.6	5
6.7	0.24	0.35	13.1	0.05	64	205	0.997	3.15	0.5	9.5	5
7	0.23	0.36	13	0.051	72	177	0.9972	3.16	0.49	9.8	5
7.5	0.29	0.31	8.95	0.055	20	151	0.9968	3.08	0.54	9.3	5
9.8	0.42	0.48	9.85	0.034	5	110	0.9958	2.87	0.29	10	5
7.5	0.27	0.31	17.7	0.051	33	173	0.999	3.09	0.64	10.2	5
5.9	0.23	0.3	12.9	0.054	57	170	0.9972	3.28	0.39	9.4	5
7.1	0.34	0.15	1.2	0.053	61	183	0.9936	3.09	0.43	9.2	5
6.8	0.28	0.4	22	0.048	48	167	1.001	2.93	0.5	8.7	5
6.8	0.26	0.56	11.9	0.043	64	226	0.997	3.02	0.63	9.3	5
6.8	0.29	0.56	11.9	0.043	66	230	0.9972	3.02	0.63	9.3	5
5.9	0.3	0.23	4.2	0.038	42	119	0.9924	3.15	0.5	11	5
6.8	0.28	0.4	22	0.048	48	167	1.001	2.93	0.5	8.7	5
6.6	0.15	0.34	5.1	0.055	34	125	0.9942	3.36	0.42	9.6	5
6.4	0.29	0.44	3.6	0.2	75	181	0.9942	3.02	0.41	9.1	5
6.4	0.29	0.44	3.6	0.197	75	183	0.9942	3.01	0.38	9.1	5
6.8	0.26	0.24	7.8	0.052	54	214	0.9961	3.13	0.47	8.9	5
7.1	0.32	0.24	13.1	0.05	52	204	0.998	3.1	0.49	8.8	5
6.8	0.26	0.24	7.8	0.052	54	214	0.9961	3.13	0.47	8.9	5
6.8	0.27	0.26	16.1	0.049	55	196	0.9984	3.15	0.5	9.3	5
7.1	0.32	0.24	13.1	0.05	52	204	0.998	3.1	0.49	8.8	5
6.9	0.54	0.32	13.2	0.05	53	236	0.9973	3.2	0.5	9.6	5
6.4	0.21	0.5	11.6	0.042	45	153	0.9972	3.15	0.43	8.8	5
6	0.28	0.49	6.8	0.048	61	222	0.9953	3.19	0.47	9.3	5
6.2	0.3	0.17	2.8	0.04	24	125	0.9939	3.01	0.46	9	5
8.4	0.18	0.42	5.1	0.036	7	77	0.9939	3.16	0.52	11.7	5
6.6	0.56	0.22	8.9	0.034	27	133	0.99675	3.2	0.51	9.1	5
6.2	0.3	0.17	2.8	0.04	24	125	0.9939	3.01	0.46	9	5
6.6	0.56	0.22	8.9	0.034	27	133	0.99675	3.2	0.51	9.1	5
6.8	0.18	0.21	5.4	0.053	34	104	0.99445	3.3	0.43	9.4	5
8.4	0.18	0.42	5.1	0.036	7	77	0.9939	3.16	0.52	11.7	5
6.6	0.22	0.37	15.4	0.035	62	153	0.99845	3.02	0.4	9.3	5
9.2	0.34	0.27	1.2	0.026	17	73	0.9921	3.08	0.39	10.8	5
8.2	0.38	0.49	13.6	0.042	58	166	0.99855	3.1	0.54	9.4	5
7.7	0.34	0.58	11.1	0.039	41	151	0.9978	3.06	0.49	8.6	5
8.2	0.38	0.49	13.6	0.042	58	166	0.99855	3.1	0.54	9.4	5
8.2	0.4	0.48	13.7	0.042	59	169	0.9986	3.1	0.52	9.4	5
6.6	0.3	0.3	4.8	0.17	60	166	0.9946	3.18	0.47	9.4	5
4.8	0.33	0	6.5	0.028	34	163	0.9937	3.35	0.61	9.9	5
6	0.45	0.65	9.7	0.08	11	159	0.9956	3.04	0.48	9.4	5
7.7	0.34	0.58	11.1	0.039	41	151	0.9978	3.06	0.49	8.6	5
7.7	0.15	0.29	1.3	0.029	10	64	0.9932	3.35	0.39	10.1	5
5.9	0.26	0.3	1	0.036	38	114	0.9928	3.58	0.48	9.4	5
6.1	0.28	0.35	12.8	0.048	63	229	0.9975	3.08	0.4	8.9	5
7.5	0.24	0.31	13	0.049	46	217	0.9985	3.08	0.53	8.8	5
6.3	0.33	0.2	5.8	0.04	24	144	0.99425	3.15	0.63	9.9	5
6.2	0.33	0.19	5.6	0.042	22	143	0.99425	3.15	0.63	9.9	5
